question,query,matched_contents,generated_query
"What is the total rent income from all properties in ""fondamenta san domenico""?","SELECT SUM(catastici.Rent_Income) 
FROM catastici 
WHERE catastici.Property_Location = 'fondamenta san domenico';","""Property_Location"" = ""fondamenta san domenico""","[""SELECT SUM(catastici.Rent_Income) \nFROM catastici \nWHERE catastici.Property_Location = 'fondamenta san domenico';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT SUM(catastici.Rent_Income)\nFROM catastici\nWHERE catastici.Property_Location = 'fondamenta san domenico';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"", 'SELECT SUM(catastici.Rent_Income) \nFROM catastici \nWHERE catastici.Property_Location = \'fondamenta san domenico\';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\nprimary key :\ncatastici.ID\nmatched contents : ""Owner_First_Name"" = ""francesco""\n""Owner_Family_Name"" = ""mosto""\nHow much total rent income does ""francesco"" ""mosto"" earn from all his properties?\nSELECT SUM(catastici.Rent_Income) AS Total_Rent_Income\nFROM catastici\nWHERE catastici.Owner_First_Name = \'francesco\' AND catastici.Owner', 'SELECT SUM(catastici.Rent_Income) \nFROM catastici \nWHERE catastici.Property_Location = \'fondamenta san domenico\';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\nprimary key :\ncatastici.ID\nmatched contents : ""Property_Location"" = ""fondamenta san domenico""\nWhat is the total rent income from all properties in ""fondamenta san domenico""?\nSELECT SUM(catastici.Rent_Income) \nFROM catastici \nWHERE catastici.Property_Location = \'fondamenta san domenico\';\n\ndatabase schema :\ntable catastici , columns = [ catastici.']"
How many owners have properties across multiple locations?,"SELECT COUNT(*)
FROM (
SELECT DISTINCT catastici.Owner_First_Name, catastici.Owner_Family_Name
FROM catastici 
GROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name 
HAVING COUNT(DISTINCT catastici.Property_Location) > 1
) AS owners_with_multiple_properties;",None,"['SELECT COUNT(*) AS num_owners_with_multiple_locations\nFROM (SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name\nFROM catastici\nGROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name\nHAVING COUNT(DISTINCT catastici.Property_Location) > 1) AS owners_with_multiple_locations;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ;', 'SELECT COUNT(*) AS num_owners_with_properties_across_multiple_locations\nFROM (SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name\nFROM catastici\nGROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name\nHAVING COUNT(DISTINCT catastici.Property_Location) > 1) AS owners_with_properties_across_multiple_locations;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;', 'SELECT COUNT(*) AS num_owners_with_multiple_properties\nFROM (SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name\nFROM catastici\nGROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name\nHAVING COUNT(DISTINCT catastici.Property_Location) > 1) AS owners_with_multiple_properties;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ;', 'SELECT COUNT(*) AS num_owners_with_properties_in_multiple_locations\nFROM (SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name\nFROM catastici\nGROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name\nHAVING COUNT(DISTINCT catastici.Property_Location) > 1) AS owners_with_properties_in_multiple_locations;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ;']"
"What is the total rent income of the property owned by ""carlo"" ""gritti""?","SELECT SUM(catastici.Rent_Income) 
FROM catastici 
WHERE catastici.Owner_First_Name = 'carlo' AND catastici.Owner_Family_Name = 'gritti';","""Owner_First_Name"" = ""carlo""
""Owner_Family_Name"" = ""gritti""","[""SELECT SUM(catastici.Rent_Income) \nFROM catastici \nWHERE catastici.Owner_First_Name = 'carlo' AND catastici.Owner_Family_Name = 'gritti';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ;"", ""SELECT SUM(catastici.Rent_Income)\nFROM catastici\nWHERE catastici.Owner_First_Name = 'carlo' AND catastici.Owner_Family_Name = 'gritti';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ;"", ""SELECT SUM(catastici.Rent_Income) \nFROM catastici \nWHERE catastici.Owner_First_Name = 'carlo' \nAND catastici.Owner_Family_Name = 'gritti';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ;"", ""SELECT SUM(catastici.Rent_Income) AS Total_Rent_Income\nFROM catastici \nWHERE catastici.Owner_First_Name = 'carlo' AND catastici.Owner_Family_Name = 'gritti';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;""]"
How many properties produce a rent income above the dataset average?,"SELECT COUNT(catastici.Property_ID) 
FROM catastici 
WHERE catastici.Rent_Income > (SELECT AVG(catastici.Rent_Income) FROM catastici);",None,"['SELECT COUNT(catastici.Property_ID) \nFROM catastici \nWHERE Rent_Income > (SELECT AVG(catastici.Rent_Income) FROM catastici);\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;', 'SELECT COUNT(catastici.Rent_Income) \nFROM catastici \nWHERE Rent_Income > (SELECT AVG(catastici.Rent_Income) FROM catastici);\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;', 'SELECT COUNT(catastici.Property_ID)\nFROM catastici\nWHERE Rent_Income > (SELECT AVG(catastici.Rent_Income) FROM catastici);\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ;', 'SELECT COUNT(catastici.Property_ID)\nFROM catastici \nWHERE Rent_Income > (SELECT AVG(catastici.Rent_Income) FROM catastici);\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ;']"
"What is the collective rent income of all ""bottega da casarol"" type properties?","SELECT SUM(catastici.Rent_Income) 
FROM catastici 
WHERE catastici.Property_Type = 'bottega da casarol';","""Property_Type"" = ""bottega da casarol""","[""SELECT SUM(catastici.Rent_Income)\nFROM catastici\nWHERE catastici.Property_Type = 'bottega da casarol';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ;"", ""SELECT SUM(catastici.Rent_Income) as Total_Rent_Income\nFROM catastici\nWHERE catastici.Property_Type = 'bottega da casarol';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ;"", ""SELECT SUM(catastici.Rent_Income) as Collective_Rent_Income\nFROM catastici\nWHERE catastici.Property_Type = 'bottega da casarol';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;"", ""SELECT SUM(catastici.Rent_Income) \nFROM catastici \nWHERE catastici.Property_Type = 'bottega da casarol';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ;""]"
How many unique property owners are there in the dataset?,"SELECT COUNT(DISTINCT catastici.Owner_ID) AS unique_owners
FROM catastici;",None,"['SELECT COUNT(DISTINCT catastici.Owner_ID) AS num_owners\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ;', 'SELECT COUNT(DISTINCT catastici.Owner_ID) AS num_unique_owners\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;', 'SELECT COUNT(DISTINCT catastici.Owner_ID)\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ;', 'SELECT COUNT(DISTINCT catastici.Owner_ID) AS num_property_owners\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;']"
What is the total number of properties generating less than 30 ducati in rent?,"SELECT COUNT(catastici.Property_ID) 
FROM catastici 
WHERE catastici.Rent_Income < 30;",None,"['SELECT SUM(catastici.Rent_Income) AS Total_Rent_Income\nFROM catastici\nWHERE catastici.Rent_Income < 30;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ;', 'SELECT COUNT(catastici.Property_ID) \nFROM catastici \nWHERE catastici.Rent_Income < 30;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ;', 'SELECT SUM(catastici.Rent_Income) AS Total_Rent_Income\nFROM catastici \nWHERE catastici.Rent_Income < 30;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ;', 'SELECT SUM(catastici.Rent_Income) AS Total_Rent_Income \nFROM catastici \nWHERE catastici.Rent_Income < 30;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;']"
What is the average number of properties owned per owner in the dataset?,"SELECT AVG(property_counts.num_properties_owned)
FROM (
SELECT catastici.Owner_ID, COUNT(catastici.Property_ID) AS num_properties_owned
FROM catastici
GROUP BY catastici.Owner_ID
) AS property_counts
GROUP BY property_counts.Owner_ID;",None,"['SELECT AVG(Num_Properties) AS avg_num_properties\nFROM (\nSELECT catastici.Owner_ID, COUNT(catastici.Property_ID) AS Num_Properties\nFROM catastici\nGROUP BY catastici.Owner_ID\n) AS subquery;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT AVG(num_properties) AS avg_num_properties\nFROM (\nSELECT catastici.Owner_ID, COUNT(catastici.Property_ID) AS num_properties\nFROM catastici\nGROUP BY catastici.Owner_ID\n) AS subquery;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT AVG(Num_Properties) AS avg_properties\nFROM (\nSELECT catastici.Owner_ID, COUNT(catastici.Property_ID) AS Num_Properties\nFROM catastici\nGROUP BY catastici.Owner_ID\n) AS subquery;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT AVG(Num_Properties) AS avg_num_properties\nFROM (\nSELECT catastici.Owner_ID, COUNT(catastici.Property_ID) AS Num_Properties\nFROM catastici\nGROUP BY catastici.Owner_ID\nHAVING COUNT(catastici.Property_ID) > 1\n) AS subquery;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;']"
Who earns the highest rent income from a single property and how much?,"SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name, catastici.Rent_Income
FROM catastici
ORDER BY catastici.Rent_Income DESC
LIMIT 1;",None,"['SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name, MAX(catastici.Rent_Income) AS ""Max_Rent_Income""\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name, catastici.Rent_Income\nFROM catastici\nORDER BY catastici.Rent_Income DESC\nLIMIT 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name, MAX(catastici.Rent_Income) AS ""Max_Rent_Income""\nFROM catastici\nGROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name\nORDER BY ""Max_Rent_Income"" DESC\nLIMIT 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;', 'SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name, MAX(catastici.Rent_Income) AS ""Max_Rent_Income""\nFROM catastici\nGROUP BY catastici.Owner_ID\nORDER BY ""Max_Rent_Income"" DESC\nLIMIT 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ;']"
How many properties are rented out for less than the average rent income?,"SELECT COUNT(catastici.Property_ID) 
FROM catastici 
WHERE catastici.Rent_Income < (SELECT AVG(catastici.Rent_Income) FROM catastici);",None,"['SELECT COUNT(*)\nFROM catastici\nWHERE catastici.Rent_Income < (SELECT AVG(catastici.Rent_Income) FROM catastici);\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ;', 'SELECT COUNT(catastici.Rent_Income)\nFROM catastici\nWHERE catastici.Rent_Income < (SELECT AVG(catastici.Rent_Income) FROM catastici);\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ;', 'SELECT COUNT(*)\nFROM catastici\nWHERE catastici.Rent_Income < (\n    SELECT AVG(catastici.Rent_Income)\n    FROM catastici\n);\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ;', 'SELECT COUNT(catastici.Rent_Income)\nFROM catastici\nWHERE catastici.Rent_Income < (SELECT AVG(catastici.Rent_Income)\nFROM catastici);\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;']"
Which location has the highest total rent income?,"SELECT catastici.Property_Location, SUM(catastici.Rent_Income) AS total_rent_income
FROM catastici
GROUP BY catastici.Property_Location
ORDER BY total_rent_income DESC
LIMIT 1;",None,"['SELECT catastici.Property_Location, SUM(catastici.Rent_Income) AS Total_Rent_Income\nFROM catastici\nGROUP BY catastici.Property_Location\nORDER BY Total_Rent_Income DESC\nLIMIT 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT catastici.Property_Location, SUM(catastici.Rent_Income) AS ""Total_Rent_Income""\nFROM catastici\nGROUP BY catastici.Property_Location\nORDER BY ""Total_Rent_Income"" DESC\nLIMIT 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ;', 'SELECT catastici.Property_Location\nFROM catastici\nGROUP BY catastici.Property_Location\nORDER BY SUM(catastici.Rent_Income) DESC\nLIMIT 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT catastici.Property_Location, SUM(catastici.Rent_Income) AS Total_Rent_Income\nFROM catastici\nGROUP BY catastici.Property_Location\nORDER BY Total_Rent_Income DESC\nLIMIT 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text ) , catastici.Property_ID ( integer )]\ncolumns info :\nID -- Primary key ;']"
