id,question,category,answer_format,n_matches,entity_match,column_mappings,in_columns,phrase_matches,references,n_matches_predict
58,What is the average size difference between the districts with the largest and the smalles buildings in 1808?,spatial,a single number,0,0,[],[],[],[],0
59,Are there any parishes with more than 5 buildings owned by a single family in 1740?,spatial,yes or no,0,0,"[('parishes', 'parish', 1), ('more than 5', 'building_functions_count', 1), ('buildings', None, 1), ('owned by a single family', 'owner_family_name', 1)]","[True, True, False, True]","[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa giustina']}}]",[],1
60,Are there any districts with more than 5 buildings owned by a single family in 1808?,spatial,yes or no,0,0,"[('district', 'district', '2'), ('building_functions_count', 'building_functions_count', '2'), ('owner_family_name', 'owner_family_name', '2')]","[True, True, False]",[],"[{'owner_family_name': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
61,What is the most common function of buildings that are within 100 meters from the closest square in 1740?,function,a single entity name,1,0,[],[],[],[],0
62,What is the most common function of buildings that are within 100 meters from the closest square in 1808?,function,a single entity name,1,0,"[('most common function of buildings', 'building_functions', 2), ('buildings that are within 100 meters from the closest square', 'longitude', 2), ('buildings that are within 100 meters from the closest square', 'latitude', 2), ('buildings that are within 100 meters from the closest square', 'landmark_name', 3)]","[False, False, False, True]",[],"[{'most common function of buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}, {'buildings that are within 100 meters from the closest square': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'buildings that are within 100 meters from the closest square': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}]",0
63,Which square is surrounded with the buildings with the most diverse functions within the radius of 100 meters in 1740?,function,a single entity name,1,0,"[('square', 'landmark_name', 3), ('buildings', 'building_functions', 1), ('functions', 'building_functions_count', 1), ('radius', 'longitude', 1), ('radius', 'latitude', 1)]","[True, False, False, False, False]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]","[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'radius': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'radius': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}]",1
64,Which square is surrounded with the buildings with the most diverse functions within the radius of 100 meters in 1808?,function,a single entity name,1,0,"[('square', 'landmark_type', 3), ('building functions', 'building_functions', 2), ('building functions count', 'building_functions_count', 2)]","[True, False, False]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'building functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}, {'building functions count': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}]",1
65,Are residential buildings more closely located to the squares than commercial buildings in 1740?,function,yes or no,3,1,"[('residential buildings', 'building_functions', 1), ('squares', 'landmark_type', 3), ('commercial buildings', 'building_functions', 1), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1)]","[True, True, True, True, True]","[{'residential buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['appartamento, casa', 'appartamento, casa, magazzeno']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'commercial buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['calle, magazzeno']}}]",[],3
66,Are residential buildings more closely located to the squares than commercial buildings in 1808?,function,yes or no,3,1,"[('residential buildings', 'building_functions', '2'), ('squares', 'landmark_type', '3'), ('longitude', 'longitude', '2'), ('latitude', 'latitude', '2'), ('commercial buildings', 'building_functions', '2')]","[True, True, True, False, True]","[{'residential buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa, corto, portico', 'appartamento, casa, volta', 'appartamento, casa', 'area, casa']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'commercial buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico', 'fabbrica, locale']}}]","[{'latitude': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}]",3
67,What is the average distance between workshops and their nearest square in 1740?,function,a single number,2,1,"[('average distance', 'building_area', 2), ('workshops', 'building_functions', 1), ('squares', 'landmark_type', 3)]","[False, False, True]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'average distance': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}, {'workshops': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
68,What is the average distance between houses and their nearest square in 1740?,function,a single number,2,1,"[('houses', 'building_functions', 1), ('square', 'landmark_type', 3), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1), ('landmark_name', 'landmark_name', 3)]","[True, True, True, True, True]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, orto', 'appartamento, casa', 'casa, scala']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",[],2
69,What is the average distance between schools and their nearest church in 1740?,function,a single number,2,1,"[('average distance', 'longitude', 1), ('average distance', 'latitude', 1), ('schools', 'building_functions', 1), ('church', 'landmark_type', 3), ('longitude', 'longitude', 3), ('latitude', 'latitude', 3)]","[False, False, True, True, True, True]","[{'schools': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['scuola']}}, {'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]","[{'average distance': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'average distance': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}]",2
70,What is the average distance between workshops and their nearest square in 1808?,function,a single number,2,1,"[('distance', 'building_area', '2'), ('workshops', 'building_functions', '2'), ('square', 'landmark_type', '3'), ('1808', 'None', '2')]","[False, True, True, False]","[{'workshops': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['cantiere', 'magazzeno, raffinaria']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'distance': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",2
71,What is the average distance between houses and their nearest square in 1808?,function,a single number,2,1,"[('houses', 'building_functions', 2), ('square', 'landmark_type', 3), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[True, True, True, True]","[{'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, loggia', 'casa, tintoria', 'bottega, casa, locanda', 'appartamento, casa', 'casa, luogo', 'casa, orto']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",[],2
72,What is the average distance between schools and their nearest church in 1808?,function,a single number,2,1,"[('schools', 'building_functions', 2), ('church', 'landmark_type', 3), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[True, True, True, True]","[{'schools': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['magazzeno, scuola']}}, {'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]",[],2
73,"On average, are buildings with multiple functions more expensive than the ones with a single function in 1740?",function,yes or no,0,0,"[('buildings', None, 1), ('with multiple functions', 'building_functions_count', 1), ('more expensive than the ones with a single function', 'rent_price', 1)]","[False, True, True]",[],[],0
74,"On average, are buildings with multiple functions larger than the ones with a single function in 1808?",function,yes or no,0,0,"[('buildings', None, 2), ('with multiple functions', 'building_functions_count', 2), ('larger than the ones with a single function', 'building_functions_count', 2)]","[False, True, True]",[],[],0
75,What is the most common combination of functions of multi-functional buildings in 1740?,function,a single entity name,0,0,"[('most common combination of functions', 'building_functions', 1), ('multi-functional buildings', 'building_functions_count', 1)]","[True, True]",[],[],0
76,What is the most common combination of functions of multi-functional buildings in 1808?,function,a single entity name,0,0,[],[],[],[],0
77,Is there a correlation between building functions and their proximity to the churches in 1740?,function,yes or no,1,0,"[('building functions', 'building_functions', 1), ('churches', 'landmark_type', 3)]","[False, True]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]","[{'building functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
78,Is there a correlation between building functions and their proximity to the churches in 1808?,function,yes or no,1,0,"[('building functions', 'building_functions', '2'), ('proximity to the churches', 'landmark_type', '3')]","[False, True]","[{'proximity to the churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]","[{'building functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",1
79,Which church is surrounded by the most diverse set of building functions in 1740?,function,a single entity name,1,0,"[('church', 'landmark_type', 3), ('building functions', 'building_functions', 1)]","[True, False]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]","[{'building functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
80,Which church is surrounded by the most diverse set of building functions in 1808?,function,a single entity name,1,0,"[('church', 'landmark_type', 3), ('building functions', 'building_functions', 2)]","[True, False]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]","[{'building functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",1
81,Is there a correlation between the number of building functions and the rent price in 1740?,function,yes or no,0,0,"[('number of building functions', 'building_functions_count', '1'), ('rent price', 'rent_price', '1')]","[True, True]",[],[],0
82,Is there a correlation between the number of building functions and the size of the building in 1808?,function,yes or no,0,0,"[('number of building functions', 'building_functions_count', '2'), ('size of the building', 'building_area', '2')]","[True, True]",[],[],0
83,Which square has the largest number of commercial buildings within 100 meters in the dataset in 1740?,function,a single entity name,2,0,[],[],[],[],0
84,Which square has the largest number of commercial buildings within 100 meters in the dataset in 1808?,function,a single entity name,2,0,"[('square', 'landmark_type', 3), ('commercial', 'building_functions', 2), ('building_functions_count', 'building_functions_count', 2), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[True, True, True, True, True]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'commercial': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['magazzeno']}}]",[],2
85,Which family owns the most number of buildings in 1740?,personal,a single entity name,0,0,[],[],[],[],0
86,How many buildings does the family of Michiel own in 1740?,personal,a single number,1,1,"[('family of Michiel', 'owner_family_name', 1), ('family of Michiel', 'owner_family_name', 2)]","[True, True]","[{'family of michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['emo michiel']}}, {'family of michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}]",[],2
87,How many buildings does the Zuanne Don own in 1740?,personal,a single number,2,1,"[('How many buildings', 'building_functions_count', 1), ('Zuanne Don', 'owner_first_name', 1), ('Zuanne Don', 'owner_family_name', 1)]","[False, True, True]","[{'zuanne don': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['zuanne', 'zuanne domenico', 'zuanne antonio', 'zuanne salvador', 'zuane domenico', 'zuanne giovanni', 'zuanne paolo']}}, {'zuanne don': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['donini']}}]","[{'how many buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",2
88,Which family owns the most number of buildings in 1808?,personal,a single entity name,0,0,"[('family', 'owner_family_name', 2), ('owns the most number of buildings', 'count of rows for each unique value in owner_family_name', 2)]","[False, False]",[],"[{'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
89,How many buildings does the family of Michiel own in 1808?,personal,a single number,1,1,"[('buildings', None, 2), ('family of Michiel', 'owner_family_name', 2)]","[False, True]","[{'family of michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}]",[],1
90,How many buildings does the Zuanne Francesco own in 1740?,personal,a single number,2,1,"[('buildings', 'building_functions_count', 1), ('Zuanne', 'owner_first_name', 1), ('Francesco', 'owner_family_name', 1)]","[False, True, True]","[{'zuanne': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['zuanne']}}, {'francesco': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['franceschi', 'francesconi', 'franco', 'franceschini', 'facco', 'francescone', 'franceschetti']}}]","[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",2
91,Is there any correlation between the family name and the profession in 1740?,personal,yes or no,0,0,"[('family name', 'owner_family_name', 1), ('profession', 'owner_profession', 1)]","[False, False]",[],"[{'family name': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'profession': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession'}}]",0
92,Which family owns the most number of buildings per parish on average in 1740?,personal,a single entity name,0,0,"[('family', 'owner_family_name', 1), ('number of buildings', 'building_functions_count', 1), ('parish', 'parish', 1)]","[False, False, True]","[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'number of buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",1
93,Which family owns the most number of buildings per district on average in 1740?,personal,a single entity name,0,0,"[('family', 'owner_family_name', '1'), ('owns the most number of buildings', 'building_functions_count', '1'), ('per district', 'parish', '1')]","[False, False, True]",[],"[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'owns the most number of buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",0
94,How many lawyers are there in Venice in 1740?,personal,a single number,1,1,"[('lawyers', 'owner_profession', 1), ('Venice', 'parish', 1)]","[True, True]","[{'lawyers': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['avocato', 'avvocato']}}]",[],1
95,How many cook are there in Venice in 1740?,personal,a single number,1,1,"[('cook', 'building_functions', '1'), ('in Venice', 'parish', '1')]","[True, True]","[{'cook': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['forno']}}, {'in venice': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['san marcilian', 'san pietro di castello', ""sant'antonino"", ""sant'agnese"", 'san cassiano', 'san polo']}}]",[],2
96,How many medical doctors are there in Venice in 1740?,personal,a single number,1,1,"[('medical doctors', 'owner_profession', 1), ('in Venice', 'parish', 1)]","[True, True]","[{'medical doctors': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['medico']}}, {'in venice': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['san marcilian', 'san pietro di castello', ""sant'antonino"", ""sant'agnese"", 'san cassiano', 'san polo']}}]",[],2
97,What does Carlo Alberegno do in 1740?,personal,a single entity name,2,1,[],[],[],[],0
98,How many merchants are there in Venice in 1740?,personal,a single number,1,1,"[('merchants', 'owner_profession', 1)]",[True],"[{'merchants': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['mercante da legname']}}]",[],1
99,In which parish do prosecutors inhabit the most in 1740?,personal,a single entity name,1,1,"[('In which parish', 'parish', 1), ('prosecutors', 'owner_profession', 1)]","[False, True]","[{'prosecutors': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['procurator', 'procuratore']}}]","[{'in which parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}]",1
100,In which parish do lawyers own the most number of buildings in 1740?,personal,a single entity name,1,1,"[('lawyers', 'owner_profession', 1), ('own the most number of buildings', 'building_functions_count', 1)]","[True, False]","[{'lawyers': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['avocato', 'avvocato']}}]","[{'own the most number of buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",1
101,How much of do doctors earch from rent on average in 1740?,personal,a single number,1,1,"[('doctors', 'owner_profession', 1), ('earn from rent', 'rent_price', 1)]","[True, True]","[{'doctors': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['dottor']}}]",[],1
102,Who is the richest person in term of how much they earn from rent in 1740?,personal,a single number,0,0,"[('richest person', 'owner_first_name', '1'), ('in term of how much they earn from rent', 'rent_price', '1')]","[False, False]",[],"[{'richest person': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name'}}, {'in term of how much they earn from rent': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}]",0
103,Is there a significant difference in rent prices based on the profession of the building owner in 1740?,personal,yes or no,0,0,"[('rent prices', 'rent_price', '1'), ('profession', 'owner_profession', '1')]","[True, False]",[],"[{'profession': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession'}}]",0
104,What is the most common building functions of buildings owned by the same family in 1740?,personal,a single entity name,0,0,"[('building functions', 'building_functions', 1), ('owner family name', 'owner_family_name', 1), ('1740', 'dataset', 1)]","[False, False, False]",[],"[{'building functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'owner family name': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}]",0
105,What is the most common building functions of buildings owned by the same family in 1808?,personal,a single entity name,0,0,"[('most common building functions', 'building_functions', 2), ('owned by the same family', 'owner_family_name', 2)]","[False, False]",[],"[{'most common building functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}, {'owned by the same family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
106,What type of building is owned the most by lawyers in 1740?,personal,a single entity name,1,1,"[('What type of building', 'building_functions', 1), ('owned the most by lawyers', 'owner_profession', 1)]","[False, True]","[{'owned the most by lawyers': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['avocato']}}]","[{'what type of building': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
107,What type of building is owned the most by doctors in 1740?,personal,a single entity name,1,1,"[('What type of building', 'building_functions', 1), ('owned the most by doctors', 'owner_profession', 1)]","[False, True]","[{'owned the most by doctors': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['medico']}}]","[{'what type of building': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
108,How many people were relocated by more than 1km from 1740 to 1808?,comparison,a single number,0,0,"[('people', 'owner_first_name', 1), ('people', 'owner_family_name', 1), ('people', 'owner_first_name', 2), ('people', 'owner_family_name', 2), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[False, False, False, False, True, True, True, True]",[],"[{'people': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name'}}, {'people': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'people': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name'}}, {'people': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
109,What is the average distance moved by individuals who owned buildings in both 1740 and 1808?,comparison,a single number,0,0,"[('longitude', 'longitude', '1'), ('latitude', 'latitude', '1'), ('longitude', 'longitude', '2'), ('latitude', 'latitude', '2'), ('owner_first_name', 'owner_first_name', '1'), ('owner_family_name', 'owner_family_name', '1'), ('owner_first_name', 'owner_first_name', '2'), ('owner_family_name', 'owner_family_name', '2')]","[True, False, True, False, False, True, False, False]",[],"[{'latitude': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'latitude': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}, {'owner_first_name': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name'}}, {'owner_first_name': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name'}}, {'owner_family_name': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
110,How many more buildings does the family of Michiel own in 1808 compared to 1740?,comparison,a single number,1,1,"[('building_functions_count', 'building_functions_count', 1), ('owner_family_name', 'owner_family_name', 1), ('building_functions_count', 'building_functions_count', 2), ('owner_family_name', 'owner_family_name', 2)]","[True, False, True, False]",[],"[{'owner_family_name': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'owner_family_name': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
111,Which profession exhibited the highest rate of relocation compared to others from 1740 to 1808?,comparison,a single entity name,0,0,"[('Which profession', 'owner_profession', 1), ('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2)]","[False, False, False]",[],"[{'which profession': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession'}}, {'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
112,How many families own more buildings in 1808 than what they owned in 1740?,comparison,a single number,0,0,"[('families', 'owner_family_name', '1'), ('own more buildings', 'building_functions_count', '1'), ('own more buildings', 'building_functions_count', '2')]","[False, False, False]",[],"[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'own more buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'own more buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}]",0
113,How many families relocated their buildings closer to squares from 1740 to 1808?,comparison,a single number,1,0,"[('families', 'owner_family_name', '1'), ('families', 'owner_family_name', '2'), ('relocated their buildings', 'longitude', '1'), ('relocated their buildings', 'longitude', '2'), ('relocated their buildings', 'latitude', '1'), ('relocated their buildings', 'latitude', '2'), ('closer to squares', 'landmark_type', '3')]","[False, False, False, False, False, False, False]",[],"[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'relocated their buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'relocated their buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'relocated their buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'relocated their buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}, {'closer to squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type'}}]",0
114,How many families relocated their buildings further away from squares from 1740 to 1808?,comparison,a single number,1,0,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2), ('relocated their buildings', 'longitude', 1), ('relocated their buildings', 'longitude', 2), ('relocated their buildings', 'latitude', 1), ('relocated their buildings', 'latitude', 2), ('further away from squares', 'landmark_type', 3), ('further away from squares', 'longitude', 1), ('further away from squares', 'longitude', 2), ('further away from squares', 'latitude', 1), ('further away from squares', 'latitude', 2)]","[False, False, False, False, False, False, True, True, True, False, False]","[{'further away from squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'relocated their buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'relocated their buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'relocated their buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'relocated their buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}, {'further away from squares': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'further away from squares': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}]",1
115,How many more buildings are located within 100 meters from the closest squares in 1808 compared to 1740?,comparison,a single number,1,0,"[('buildings', 'building_functions_count', 1), ('buildings', 'building_functions_count', 2), ('squares', 'landmark_name', 3), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[False, False, True, True, True, True, True]",[],"[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}]",0
116,How many less buildings are located within 100 meters from the closest  squares in 1808 compared to 1740?,comparison,a single number,1,0,"[('less buildings', 'building_functions_count', 1), ('less buildings', 'building_functions_count', 2), ('squares', 'landmark_type', 3), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[True, True, True, True, True, True, True]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",[],1
117,How many families present in Venice in 1740 still exist in 1808?,comparison,a single number,0,0,"[('families', 'owner_family_name', '1'), ('families', 'owner_family_name', '2')]","[False, False]",[],"[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
118,Does the family of Michiel exist in both periods?,comparison,yes or no,2,1,"[('family of Michiel', 'owner_family_name', 1), ('family of Michiel', 'owner_family_name', 2)]","[True, True]","[{'family of michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['emo michiel']}}, {'family of michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}]",[],2
119,How many more buildings does the family of Michiel own in 1808 compared to 1740?,comparison,a single number,2,1,"[('building_functions_count', 'building_functions_count', 1), ('owner_family_name', 'owner_family_name', 1), ('building_functions_count', 'building_functions_count', 2), ('owner_family_name', 'owner_family_name', 2)]","[True, False, True, False]",[],"[{'owner_family_name': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'owner_family_name': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
120,Does the family of Michiel exist in both periods?,comparison,yes or no,1,1,"[('family of Michiel', 'owner_family_name', 1), ('family of Michiel', 'owner_family_name', 2)]","[True, True]","[{'family of michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['emo michiel']}}, {'family of michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}]",[],2
121,Does the family of Michiel exist in both periods?,comparison,yes or no,1,1,"[('family of Michiel', 'owner_family_name', 1), ('family of Michiel', 'owner_family_name', 2)]","[True, True]","[{'family of michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['emo michiel']}}, {'family of michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}]",[],2
122,Does the family of Michiel exist in both periods?,comparison,yes or no,1,1,"[('family of Michiel', 'owner_family_name', 1), ('family of Michiel', 'owner_family_name', 2)]","[True, True]","[{'family of michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['emo michiel']}}, {'family of michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}]",[],2
123,Which family increased the number of buildings they owned the most from 1740 to 1808?,comparison,a single entity name,0,0,"[('family', 'owner_family_name', '1'), ('family', 'owner_family_name', '2'), ('number of buildings', 'building_functions_count', '1'), ('number of buildings', 'building_functions_count', '2')]","[False, False, False, False]",[],"[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'number of buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'number of buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}]",0
