Owner_First_Name,Owner_Family_Name,Property_Type,Property_Location,Rent_Income
Steffano,GHISI,Casa e Bottega,Al Ponte di Noal,55 ducati
Giovanni,GRIONI,Appartamento di Casa soler di sopra,Al Ponte di Noal,34 ducati
Anna,TRIESTE,Appartamento soler di sotto,Al Ponte di Noal,30 ducati
Zuanne,ZULLIAN,Casa,Al Ponte di Noal,14 ducati
Alvise,MAGNO,Casa,Al Ponte di Noal,26 ducati
Giovanni Battista,BUSICHIA,Bottega di Sartor,Al Ponte di Noal,12 ducati
Giovanni Battista,BUSICHIA,Bottega di Calegher,Al Ponte di Noal,20 ducati
Lunardo,PESARO,Bottega da Tesser disse di non pagar affitto,Campiello di Ca' Lucca,18 ducati
Maria,BERTTONI,Casa,Sopra la Fondamenta del Ponte di Legno,40 ducati
Giovanni Battista,FILOSI,Casa,Sopra la Fondamenta del Ponte di Legno,36 ducati
Alvise,BARBARIGO,Casa,Corte di Ca' Barbaro,76 ducati
Alvise,BARBARIGO,Casa,Corte di Ca' Barbaro,76 ducati
Alvise,BARBARIGO,Case n° 2,Corte di Ca' Barbaro,200 ducati
Francesco,TERZI,Casa,Corte di Ca' Barbaro,180 ducati
Bortolo,FERRARI ZARA,Casa,Corte di Ca' Barbaro,180 ducati
Zuanne,BASADONNA,Casa,Campiello di Ca' Lucca,110 ducati
Zuanne Domenico,MICHIEL,Casa,Campiello di Ca' Lucca,18 ducati
Zuanne Domenico,MICHIEL,Bottega da Strazarol,Campiello di Ca' Lucca,16 ducati
Zuanne Domenico,MICHIEL,Bottega da Piatti,Campiello di Ca' Lucca,20 ducati
Marc'antonio,MICHIEL,"Casa, e Bottega da Erbariol",Campiello di Ca' Lucca,36 ducati
Zuanne,DONA,Casa,Campiello di Ca' Lucca,12 ducati
Zuanne,DONA,Casa,Campiello di Ca' Lucca,24 ducati
Ippolito,CITTI,"Casa, e Bottega da Capeller",Campiello di Ca' Lucca,74 ducati
Marc'antonio,MICHIEL,Bottega da Zavatter,Calle del Calderer,10 ducati
Zuanne,DONA,Casa,Calle del Calderer,36 ducati
Zuanne,DONA,Casa,Calle del Calderer,24 ducati
Zuanne,DONA,Bottega da Sartor,Calle del Calderer,15 ducati
Zuanne,DONA,"Casa, e Bottega da Calderer",Calle del Calderer,60 ducati
Lunardo,DONA,"Casa, e Bottega da Fenestrer",In Campo,24 ducati
Lunardo,DONA,"Casa, e Bottega da Fabro",In Campo,18 ducati
Francesco,DONA,Casa,In Campo,200 ducati
Lunardo,DONA,Magazen,In Campo,3 ducati
Zuanne,BASEGGIO,"Casa, e Bottega da Lasagner",In Campo,"26 ducati, 14 grossi"
Antonio,BASEGGIO,"Casa, e Bottega da Lasagner",In Campo,"31 ducati, 11 grossi"
Vicenzo,CANAL,"Casa, e Bottega da Lasagner",In Campo,"23 ducati, 19 grossi"
Vicenzo,CANAL,Appartamento di casa,Corte del Lasagner,12 ducati
Vicenzo,CANAL,Appartamento di sotto,Corte del Lasagner,10 ducati
Vicenzo,CANAL,Casa,Corte del Lasagner,6 ducati
Vicenzo,CANAL,Casa,Corte del Lasagner,8 ducati
Vicenzo,CANAL,Casa,Corte del Lasagner,11 ducati
Vicenzo,CANAL,"Casa, e Bottega da Tabacco",In Campo,"19 ducati, 4 grossi"
Vicenzo,CANAL,"Casa, e Bottega da Luganegher",In Campo,"21 ducati, 8 grossi"
Vicenzo,CANAL,Bottega da Galliner,In Campo,"4 ducati, 16 grossi"
Antonio,BASSEGGIO,Bottega da Galliner,In Campo,"9 ducati, 8 grossi"
Gerolemo,CORRER,Bottega da stramazer,In Campo,12 ducati
Gerolemo,CORRER,Bottega da Calzetta,In Campo,22 ducati
Gerolemo,CORRER,Bottega da Barbier,In Campo,20 ducati
Lorenzo,CORRER,Bottega da Marzer,In Campo,9 ducati
Lorenzo,CORRER,Bottega da Spicier,In Campo,36 ducati
Gerolemo,CORRER,Bottega da Indorador,In Campo,16 ducati
Gerolemo,CORRER,Casa e Bottega da Oglio,In Campo,80 ducati
Gerolemo,CORRER,Casa,In Campo,30 ducati
Gerolemo,CORRER,Casa,In Campo,10 ducati
Gerolemo,CORRER,Casa e due Botteghe da Calegher,In Campo,84 ducati
Paolina,CONTARINI,"Casa, e Bottega da Fruttarolo",In Campo,60 ducati
Paolina,CONTARINI,Bottega da Trucco,In Campo,30 ducati
Paolina,CONTARINI,Casa,In Campo,50 ducati
Giovanni Battista,FILOSI,Casa,In Campo,75 ducati
Giovanni Battista,FILOSI,Casa,In Campo,70 ducati
Gerolemo,CORRER,Casa,Rio Terrà,105 ducati
Gerolemo,CORRER,Casa,Rio Terrà,90 ducati
Filippo,DONA,Casa,Rio Terrà,70 ducati
Nadal,DONA,Bottega da Formager,Rio Terrà,28 ducati
Nadal,DONA,Bottega da Intalgiador,Rio Terrà,16 ducati
Filippo,DONA,Bottega da Spicier,Rio Terrà,28 ducati
Nadal,DONA,Bottega da Spicier,Rio Terrà,30 ducati
Nadal,DONA,Bottega da Acqua vitta,Rio Terrà,12 ducati
Nadal,DONA,Bottega da Pirier,Rio Terrà,9 ducati
Antonio,GRIMANI,Casa,Sopra la Fondamenta di Ca' Grimani,14 ducati
Antonio,GRIMANI,Casa habitata per il corso più di anni 40,Sopra la Fondamenta di Ca' Grimani,0
Antonio,GRIMANI,Casa,Sopra la Fondamenta di Ca' Grimani,14 ducati
Emilia,GARZONI DIEDO,Appartamento di sotto,Campiello del Angelo,14 ducati
Emilia,GARZONI DIEDO,Appartamento di sopra,Campiello del Angelo,12 ducati
Emilia,GARZONI DIEDO,Casa,Campiello del Angelo,10 ducati
Emilia,GARZONI DIEDO,Casa,Campiello del Angelo,34 ducati
Francesco,FERRO,Casa,Campiello del Angelo,11 ducati
Francesco,FERRO,Casa,Campiello del Angelo,9 ducati
Francesco,FERRO,Casa,Campiello del Angelo,39 ducati
Maria,VERDE,Casa,Calle Larga,44 ducati
Maria,VERDE,Casa,Calle Larga,36 ducati
Maria,VERDE,Case due,Calle Larga,40 ducati
Maria,VERDE,Appartamento di sopra,Calle Larga,14 ducati
Maria,VERDE,Appartamento di sotto,Calle Larga,16 ducati
Maria,VERDE,Casa,Calle Larga,12 ducati
Maria,VERDE,Casa,Calle Larga,36 ducati
Maria,VERDE,Casa,Calle Larga,26 ducati
Camollo,TREVISAN,Casa,Corte della Saonaria,54 ducati
Domenico,DRUSIAN,Appartamento di sopra,Corte della Saonaria,16 ducati
Nicolo,DONA,Appartamento di sopra,Corte della Saonaria,10 ducati
Camillo,TREVISAN,Casa,Sopra la Fondamenta del Forner,70 ducati
Antonio,FONTANA,Casa e Forno,Sopra la Fondamenta del Forner,144 ducati
Antonio,FONTANA,Casa,Sopra la Fondamenta del Forner,70 ducati
Gratia,VAROTTI,Casa,Sopra la Fondamenta del Forner,60 ducati
Gratia,VAROTTI,Casa,Sopra la Fondamenta del Forner,10 ducati
Francesco,TERZI,Casa votta,In Corte di Ca' Barbaro appresso il Conte Pelizzari,120 ducati
Zuanne,DONA,Bottega vota da molto tempo,In Calle del Calderer appresso il Sartor,0
Gerolemo,CORNER,Casa votta,Su la Fondamenta del Forner appresso Ca' Vendramin,24 ducati
Marco Antonio,ERIZZO,Palazzo Domenicale,In Corte di Kà Molin,0
Allessandro,MARCELLO,Palazzo Domenicale,In Corte di Kà Molin,0
Marco Antonio,ERIZZO,Casa vuota cadente,In Corte di Kà Molin,0
Marco Antonio,ERIZZO,Casa in soler,In Corte di Kà Molin,18 ducati
Marco Antonio,ERIZZO,Casa a pepian,In Corte di Kà Molin,0
Marco Antonio,ERIZZO,Casa,In Corte di Kà Molin,0
Marco Antonio,ERIZZO,"Casa in due soleri, primo",In Corte di Kà Molin,18 ducati
Marco Antonio,ERIZZO,"Casa in due soleri, secondo soler",In Corte di Kà Molin,22 ducati
Marco Antonio,ERIZZO,Casa a pepian,In Corte di Kà Molin,0
,GRADENIGO,Casa a pepian,In Corte di Kà Molin,12 ducati
Marco Antonio,ERIZZO,Casa in soler,In Corte di Kà Molin,78 ducati
,GRADENIGO,"Casa in due soleri, primo",In Corte di Kà Molin,24 ducati
,GRADENIGO,"Casa in due soleri, primo",In Corte di Kà Molin,24 ducati
,GRADENIGO,"Casa in due soleri, secondo",In Corte di Kà Molin,24 ducati
,GRADENIGO,Casa a pepian,In Corte di Kà Molin,12 ducati
Filippo,FARSETTI,Casa in soler,Calle Larga per il Campo,14 ducati
Filippo,FARSETTI,Casa in soler,Calle Larga per il Campo,24 ducati
Filippo,FARSETTI,Casa in soler,Calle Larga per il Campo,24 ducati
Filippo,FARSETTI,Casa in soler,Calle Larga per il Campo,14 ducati
,GRITTI,Casa in due soleri,Calle Larga per il Campo,52 ducati
Zorzi,QUERINI,Casa in soler,Calle Larga per il Campo,25 ducati
Zorzi,QUERINI,Casa in due soleri,Calle Larga per il Campo,50 ducati
Filippo,FARSETTI,Casa in soler,Calle del Christo,14 ducati
Paulina,PRIULI BOLLINI,Casa in soler,Calle del Christo,14 ducati
Paulina,PRIULI BOLLINI,Casa in soler,Calle del Christo,28 ducati
Zorzi,QUERINI,Casa in soler,Calle del Christo,36 ducati
,GRITTI,Casa e bottega,Rio Terrà,20 ducati
,GRITTI,Casa vuota,Rio Terrà,34 ducati
,GRITTI,Bottega da Sartor,Rio Terrà,14 ducati
Bortolo,ZANCHI,Casa e bottega,Rio Terrà,39 ducati
Bortolo,ZANCHI,Bottega da barbier,Rio Terrà,14 ducati
Maria,LORIS MASSA,Casa e bottega da fruttarol,Rio Terrà,"52 ducati, 12 grossi"
Angela,OCUTARI,Casa e bottega da fruttarol,Rio Terrà,"7 ducati, 12 grossi"
Nadal,DONA,Inviamento da fruttarol,Rio Terrà,35 ducati
Bernardo,BARONCELLI,Casa a pepian,In Campo,12 ducati
Zuanne,CLEMENTI,Casa a pepian,In Campo,12 ducati
Zorzi,QUERINI,Casa in soler,In Campo,12 ducati
,GRADENIGO,Casa a pepian,In Campo,18 ducati
,GRADENIGO,Casa a pepian,In Campo,16 ducati
Sebastian,MOLIN,Casa a pepian,In Campo,12 ducati
Sebastian,MOLIN,Casa a pepian,In Campo,12 ducati
Sebastian,MOLIN,Casa in soler,In Campo,85 ducati
Maria Celeste,CALEGARI,Casa in soler,Calle per andar in Corte a Ka' Minio,20 ducati
Maria Celeste,CALEGARI,Casa in soler,Calle per andar in Corte a Ka' Minio,38 ducati
,SAGREDO,Casa in soler,Calle per andar in Corte a Ka' Minio,34 ducati
,SAGREDO,Casa in soler,Calle per andar in Corte a Ka' Minio,30 ducati
Angelo,MEMO,Casa in soler,Calle per andar in Corte a Ka' Minio,38 ducati
Sebastian,MOLIN,Casa a pepian,Calle per andar in Corte a Ka' Minio,12 ducati
Sebastian,MOLIN,Casa a pepian,Calle per andar in Corte a Ka' Minio,12 ducati
Sebastian,MOLIN,Casa in soler,Calle per andar in Corte a Ka' Minio,16 ducati
Sebastian,MOLIN,Casa a pepian,Dietro la Chiesa,12 ducati
Sebastian,MOLIN,Casa in soler,Dietro la Chiesa,28 ducati
Sebastian,MOLIN,Magazen,Dietro la Chiesa,10 ducati
Sebastian,MOLIN,Casa in soler,Dietro la Chiesa,24 ducati
Sebastian,MOLIN,Casa a pepian,Dietro la Chiesa,10 ducati
Sebastian,MOLIN,Casa in soler,Corte del Forno,24 ducati
,BASADONA,Casa in soler,Corte del Forno,40 ducati
Sebastian,MOLIN,Casa a pepian,Corte del Forno,14 ducati
,VENIER,Casa in soler,Corte del Forno,20 ducati
Sebastian,MOLIN,Casa in soler,Corte del Forno,24 ducati
Sebastian,MOLIN,Casa in soler,Corte del Forno,14 ducati
,BASADONNA,Casa in soler,Corte del Forno,30 ducati
,BASADONNA,Inviamento di forno,Corte del Forno,120 ducati
Sebastian,MOLIN,Magazen,Corte del Forno,6 ducati
Sebastian,MOLIN,Magazen vuoto,Corte del Forno,8 ducati
,CARMINATI,Casa in soler,Corte del Forno,9 ducati
Sebastian,MOLIN,Casa in soler,Corte del Forno,24 ducati
,CARMINATI,Casa a pepian,Corte del Forno,10 ducati
,CARMINATI,Casa a pepian,Corte del Forno,10 ducati
,CARMINATI,Casa in soler,Corte del Forno,10 ducati
Sebastian,MOLIN,Casa in soler,Al Traghetto,48 ducati
Sebastian,MOLIN,Palazzo Domenical,Al Traghetto,0
Sebastian,MOLIN,Tre casette,Al Traghetto,79 ducati
Sebastian,MOLIN,"Casa in due soleri, nel primo",Calle per andar in Corte dall'Oglio,8 ducati
Sebastian,MOLIN,"Casa in due soleri, secondo soler",Calle per andar in Corte dall'Oglio,16 ducati
,CONDULMER MEMO,Casa in soler,Calle per andar in Corte dall'Oglio,10 ducati
,CARMINATI,Casa in soler,Calle per andar in Corte dall'Oglio,12 ducati
,CONDULMER MEMO,Casa in soler,Calle per andar in Corte dall'Oglio,18 ducati
,CARMINATI,Casa a pepian,Calle per andar in Corte dall'Oglio,6 ducati
Gerolemo,CORNER,Casa in soler,Corte dall'Oglio,16 ducati
Gerolemo,CORNER,Casa in soler,Corte dall'Oglio,40 ducati
Gerolemo,CORNER,Casa in soler,Corte dall'Oglio,50 ducati
,MEMA,Casa a pepian,Sotto le Colonne,14 ducati
,MEMA,Casa in soler,Sotto le Colonne,24 ducati
,CARMINATI,Casa in soler,Sotto le Colonne,22 ducati
,CARMINATI,Casa in soler,Sotto le Colonne,20 ducati
,CARMINATI,Casa a pepian,Sotto le Colonne,14 ducati
,MOLIN,Casa in soler,Sotto le Colonne,26 ducati
,MOLIN,Casa e Bottega da Fruttarol e Magazen,Sotto le Colonne,24 ducati
,MOLIN,Casa a pepian,Sotto le Colonne,12 ducati
Paulo,FAVA,Libertà,Santa Maria Maddalena al Traghetto,0
Paulo,FAVA,Libertà,Santa Maria Maddalena al Traghetto,0
Paulo,FAVA,Libertà,Santa Maria Maddalena al Traghetto,0
Paulo,FAVA,Libertà,Santa Maria Maddalena al Traghetto,0
Paulo,FAVA,Libertà,Santa Maria Maddalena al Traghetto,0
Paulo,FAVA,Libertà,Santa Maria Maddalena al Traghetto,0
,MOROSINI,Libertà,Santa Maria Maddalena al Traghetto,0
,MOROSINI,Libertà,Santa Maria Maddalena al Traghetto,0
,MOROSINI,Libertà,Santa Maria Maddalena al Traghetto,0
,MIHIELLA,Libertà,Santa Maria Maddalena al Traghetto,0
,MIHIELLA,Libertà,Santa Maria Maddalena al Traghetto,0
,FOSCARINI,Libertà,Santa Maria Maddalena al Traghetto,0
,MEMMA,Libertà,Santa Maria Maddalena al Traghetto,0
Pietro,CALVI,Libertà,Santa Maria Maddalena al Traghetto,0
Andrea,MOLINARI,Libertà,Santa Maria Maddalena al Traghetto,0
,PIETA,Libertà,Santa Maria Maddalena al Traghetto,0
Giovanni,GIRARDI,casa di residenza,Vicino al campanile,0
Alessandro Maria,PICCIOLI,casa grande,Vicino al campanile,80 ducati
Nicolo | _padre,DAL NEGO | DAL NEGO,casa,Vicino alla Chiesa,48 ducati
Nicolo | _padre,DAL NEGO | DAL NEGO,casa,Vicino alla Chiesa,48 ducati
Alessandro Maria,PICCIOLI,casa,Calle va in campo,28 ducati
Alvise,TORNI,casa,Calle va in campo,22 ducati
Alessandro Maria,PICCIOLI,bottega da naranzer e magazen,Campo,56 ducati
Paolina,BADOER MOCENIGO,bottega da acque,Campo,14 ducati
Marin,CONTARINI,casa grande,Calle Contarini,125 ducati
,D'ARMANO,casa in due solari,Calle Contarini,90 ducati
,ARMANO,casa grande,Calle Contarini,190 ducati
,ARMANO,casa in solaro,Calle Contarini,50 ducati
Filippo,NANI,casa in soler,Campo,40 ducati
Alvise,PRIULI,bottega da bottaro,Calle Contarini,18 ducati
Zorzi,ARRIGONI,casa con bottega del sartor,Campo,40 ducati
Zorzi,ARRIGONI,casa in due appartamenti,Campo,62 ducati
Polo,MINIO,casa con bottega da masteller,Salizada,40 ducati
Zuanne Battista,LIPAMANO,casa con bottega da luganegher e inviamento,Salizada,48 ducati
,TIEPOLO,altra casa vicina,Salizada,42 ducati
Zorzi,ARRIGONI,bottega da fenestrer con casetta,Salizada,28 ducati
,TIEPOLO,casa contingua alla bottega,Salizada,44 ducati
Bernardin,RUINI,casa in 3 solari con bottega sotto,Salizada,70 ducati
Antonio,GASPARINI,casa ordinaria,Salizada,20 ducati
Anzolo,FILOSI,bottega galliner,Salizada,20 ducati
Polo Andrea,RENIER PONTE,casa in due solari,Salizada,55 ducati
Polo,RENIER PONTE,casa in solari con bottega da casseler,Salizada,50 ducati
Lorenzo,TIEPOLO,casa in solaro,Calle del Frutariol,42 ducati
Paolina,DUODO ZUSTINIAN,casa in due solari,Calle del Frutariol,70 ducati
,CONTARINI,casetta con forno e inviamento,Calle del Forno,60 ducati
Antonio,GASPARINI,casa in solaro,Calle del Forno,0
Lorenzo Ferrando,GIRARDI,casa a pepian,Calle del Forno,18 ducati
Giovanni Mattio,BEMBO,casetta in solaro,Calle del Forno,24 ducati
Giovanni Mattio,BEMBO,casetta a pepian,Calle del Forno,12 ducati
Giacomo,BEMBO,casa grande,Calle del Forno,0
Andrea,LONGO,casetta in solaro,Calle del Forno,14 ducati
Giovanni Mattio,BEMBO,casa a pepian,Calle del Forno,10 ducati
Giovanni Mattio,BEMBO,casetta a pepian,Calle del Forno,12 ducati
,RENIER PONTE,casetta a pepian,Calle del Forno,12 ducati
,RENIER PONTE,casetta in solaro,Calle del Forno,18 ducati
,RENIER PONTE,casetta in solaro,Calle del Forno,14 ducati
Domenico,ANICHINI,casa in due solari,Calle del Forno,45 ducati
Giovanni Battista,FILOSI,casa in solaro,Calle del Forno,30 ducati
Giovanni Battista,FILOSI,casetta a pepian,Calle del Forno,14 ducati
Francesco,DA MOSTO,casa in due solari,Calle del Forno,85 ducati
Gregorio,GATTEI,casa in solaro,Calle del Forno,48 ducati
Gregorio,GATTEI,casa in due appartamenti,Calle del Forno,30 ducati
Antonio,CIERI,casa in solaro,Corte di Calle del Forno,30 ducati
Giovanni Mattia,BEMBO,casetta in solaro,Corte di Calle del Forno,13 ducati
,MOCENIGO,casetta in solaro,Corte di Calle del Forno,13 ducati
Mattio,BEMBO,casetta a pepian,Corte di Calle del Forno,10 ducati
Zorzi,ARRIGONI,casa in due solari,Fuori dalla Calle del Forno,54 ducati
Zorzi,ARRIGONI,casa in 3 solari e bottega da barbier,Fuori dalla Calle del Forno,90 ducati
Giovanni Silvestro,PONTI,casetta a pepian,Calle del Tentor,14 ducati
Giovanni Silvestro,PONTI,bottega da sartor,Calle del Tentor,8 ducati
Giovanni Silvestro,PONTI,casetta a pepian,Calle del Favro,12 ducati
Giovanni Silvestro,PONTE,casa grande,Calle del Favro,76 ducati
Giovanni Silvestro,PONTI,casa,Calle del Favro,0
Alvise,MALIPIERO,casa grande di presente in fabrica,Calle del Favro,0
,PISANI,casa in solaro con bottega da favro,Calle del Favro,62 ducati
Antonio,ZARABANA,casa in solaro,Calle del Tentor,24 ducati
Alvise,PRIULI,casa con bottega da tentor,Calle del Tentor,130 ducati
Paolina,SAVORGNAN,casa in solaro,In calle in faccia il tentor,30 ducati
Pietro Antonio,CALTAI,casa in solaro con sotto bottega da caseler e due magazeni,Ponte dalle Erbe,75 ducati
Pietro,CIERA,casa grande,Corte di Ca Ciera,125 ducati
Pietro,CIERA,casa grande,Corte di Ca Ciera,95 ducati
Bianca,CIERA,casetta e un maganze,Corte di Ca Ciera,20 ducati
Ferdinando,CIERA,casetta pepian e magazen,Corte di Ca Ciera,16 ducati
Bianca,CIERA,bottega da orefice,Corte di Ca Ciera,6 ducati
Bianca,CIERA,bottega da lugnaegher,Corte di Ca Ciera,11 ducati
Bianca,CIERA,casa a pepian e bottega da favro,Corte di Ca Ciera,20 ducati
Zorzi,CONTARINI DAL ZAFFO,casa in solaro,Calle del testa vicino calle del forno,32 ducati
Giovanni,MAZZAROLI,casa in solaro,Calle del Forno,70 ducati
Girolamo,FOSCARINI,casa in solaro,Calle del Forno,80 ducati
Zorzi,CONTARINI,casa con forno e inviamento,Calle del Forno,60 ducati
Zorzi,CONTARINI,casetta a pepian,Calle del Forno,14 ducati
Alvise,CONTARINI,casa grande vuota,In faccia detta calle,0
Vicenzo,GRADENIGO,casetta in due appartamenti,Sopra il testaro,14 ducati
Vincenzo,GRADENIGO,casetta in due appartamenti,Sopra il testaro,10 ducati
Vicenzo,GRADENIGO,casetta con bottega da testaro,Sopra il testaro,15 ducati
Anzolo,DONA,casetta a pepian,Squero Vecchio,26 ducati
Girolamo,FOSCARINI,casetta in solaro,Squero Vecchio,20 ducati
Girolamo,FOSCARINI,casetta a pepian,Squero Vecchio,65 ducati
Girolamo,FOSCARINI,casetta in solaro,Squero Vecchio,6 ducati
Girolamo,FOSCARINI,casa in solaro,Squero Vecchio,62 ducati
Cecilia,COSTA,casa in due solari,Squero Vecchio,115 ducati
Marin,GHELOF,casetta a pepian,Squero Vecchio,15 ducati
Anzolo,DONA,indorador,Squero Vecchio,14 ducati
Anzolo,DONA,casetta a pepian,Squero Vecchio,20 ducati
Vicenzo,GRADENIGO,casetta in solaro,Calle Contarini,20 ducati
Marins,BASADONNA CONTARINI,casa a pepian,Calle Contarini,12 ducati
Marina,BASADONNA CONTARINI,casa in solaro,Calle Contarini,42 ducati
Marina,BASADONNA CONTARINI,casa in solaro,Calle Contarini,50 ducati
Anzolo,FILOSI,casa in soler,Calle di Malvasia,60 ducati
Piero Maria,GHELFOL,casa in solaro e altra a pepian,Calle di Malvasia,40 ducati
Anzolo,DONA,casa grande,Calle di Malvasia,0
Giacomo,FERRU,casa con bottega da malvasia e un magazen,Corte della Malvasia,44 ducati
Vicenzo,DA RIVA,casa con bottega da malvasia e magazen,Corte della Malvasia,10 ducati
Nicolo,CONTARINI,casa con bottega da malvasia e magazen,Corte della Malvasia,12 ducati
Vicenzo,DA RIVA,casa in solaro,Corte della Malvasia,40 ducati
Maria,GHETOLF,bottega da orefice con casa sopra,Segue in calle,28 ducati
Maria,GHETOLF,casa grande,Segue in calle,190 ducati
,SCARELLA,casa sopra la specieria,Segue in calle,26 ducati
Gasparo,HAIS,casa in solaro,Segue in calle,25 ducati
Bernardo,CIERA,casa con bottega da luganegher e inviamento,Segue in calle,50 ducati
Maria,GHELTOF,bottega da curamer con camerino sopra,Segue in calle,32 ducati
Bernardo,CIERA,bottega in faccia con solaro e soffitta e magazen,In calle della testa,36 ducati
,CORRADIN,casa del priorato,In calle della testa,38 ducati
,SERENI,casa a pepian delle Citelle data per carità,Sotto il portico vicino al frutariol,0
Paolina,BADOER MOCENIGO,casa in solaro e bottega da tentor,Calle del ponte del legno,60 ducati
Paolina,BADOER MOCENIGO,casa in tre appartamenti,Calle del ponte del legno,28 ducati
Paolina,BADOER MOCENIGO,casa in solaro,Calle del ponte del legno,20 ducati
Paolina,BADOER MOCENIGO,casa con bottega,Calle del ponte del legno,30 ducati
Iseppo,MARINI,casa grande,Calesella,20 ducati
,MARCHESINI,casa in solaro vuota,Calesella,60 ducati
,MARCHESINI,casetta in solaro,In faccia le case nuove,30 ducati
Paolina,BADOER MOCENIGO,casa in due solari,"Case Nuove, calle della Testa",14 ducati
Paolina,MOCENIGO BADOER,casa in solaro,"Case Nuove, calle della Testa",30 ducati
Paolina,MOCENIGO BADOER,casa in solaro,Case Nuove,24 ducati
Paolina,MOCENIGO BADOER,casa in solaro,Case Nuove,24 ducati
Annibal,FONTE,casetta a pepian,Calle Galeotti,12 ducati
Anibal,FONTE,casetta in solaro,Calle Galeotti,24 ducati
Antonio,FONTE,casa in quattro affittanze,Calle Galeotti,30 ducati
Anibal,FONTE,casa in solaro,Calle Galeotti,14 ducati
,MARCHESINI,casa grande vuota,Calle della Testa,95 ducati
,MARCHESINI,casa grande vuota,Calle della Testa,161 ducati
,MARCHESINI,casetta in solaro,Callesella,16 ducati
Tomaso,MORELLI,casa grande,Calle della Testa,40 ducati
Zuanne,DOLFIN,casa in solaro,Sotto il portico vicino al frutariol Calle della testa,40 ducati
Giacomo,FERRETTI,casa e bottega da manganaro,Calle della Panada,40 ducati
Zuanne,DOLFIN,casetta con bottega da calegher,Calle della Panada,28 ducati
Giacomo,FERRETTI,casa con due botteghe una da tabacco l'altra da barbier,Calle della Panada,36 ducati
Vincenzo,DA RIVA,casa in due solari,Calle della Panada,86 ducati
Antonio,SANTORIO,bottega da curamer,Calle della Panada,22 ducati
Vincenzo,MOLIN,casa in solaro,Calle della Panada,40 ducati
Agostin,RUBBI,casa con bottega da galiner,Calle della Panada,40 ducati
Vincenzo,MOLIN,bottega da favro,Calle della Panada,22 ducati
Vincenzo,MOLIN,botteghe tre,Calle della Panada,22 ducati
Cristofolo,ORSETTI,casa e bottega da capeler,Al ponte della Panada,58 ducati
Vincenzo,DA RIVA,casa in due solari e pepian,Sotto il portico in corte,96 ducati
Giacomo,FERRETTI,casa in due solari e casetta a pepian,Sotto il portico in corte,50 ducati
Giacomo,FERRETTI,casa in due appartamenti,Sotto il portico in corte,66 ducati
Antonio,SANTORIO,casetta,Calle della Panada,22 ducati
Iseppo,RIZZARDI,casetta in solaro,Calle Slanzoni,18 ducati
Iseppo,RIZZARDI,casetta,Calle Slanzoni,24 ducati
Antonio,SOZZI,casa in solaro,Calle Slanzoni,36 ducati
Antonia,FENSI,casetta pepian,Dietro il monastero,0
Antonia,FENSI,casa soler,Dietro il monastero,28 ducati
Angelo Maria,CALLEGARI,casa in soler inafittata,Corte della Masena o sia del Lanza,36 ducati
Angelo Maria,CALEGARI,casa in soler inafittata,Calle della Masena,36 ducati
Alessandro,SALA,casetta,Calle della Masena,18 ducati
Antonio,VENIER,casa in soler,Calle della Masena,50 ducati
Antonio,VENIER,magazen,Calle della Masena,33 ducati
Giovanni Battista,GRIMANI,casa grande,Corte della Simmia,120 ducati
Marco,CORNER,casa soler,Corte della Simmia,30 ducati
Mattio,BEMBO,casa,Corte della Simmia,0
Antonio,GRIMANI,casa soler,Corte della Simmia,34 ducati
Marco,CORNER,casa soler,Corte della Simmia,44 ducati
Marco,CORNER,casetta,Corte della Simmia,0
Marco,CORNER,casetta,Corte della Simmia,18 ducati
Marco,CORNER,casetta,Corte della Simmia,16 ducati
Nicolo,FOSCARINI,palazzo,Corte Grassi,110 ducati
Nicolo,FOSCARINI,casa in soler,Corte Grassi,0
Flaminio,CASETTI,casa in soler,Corte Grassi,44 ducati
Gerolamo,FOSCARINI,casetta,Corte Grassi,12 ducati
Carlo,GRITTI,casa soler,Corte Grassi,30 ducati
Carlo,GRITTI,casa soler,Corte Grassi,40 ducati
Andriana,BASADONNA,casetta in soler,Corte Grassi,68 ducati
Zuanne Battista,LOREDAN,altra casa,Corte Grassi,58 ducati
Zuanne Battista,LOREDAN,casetta pepian,Corte Grassi,16 ducati
Carlo,GRITTI,casetta,Corte Grassi,22 ducati
Girolamo,CASSETTI,casa soler,Fondamenta di S. Andrea,34 ducati
Gasparo,DE LUCA,casetta pepian,Fondamenta di S. Andrea,20 ducati
Andrea,ZANARDI,casetta,Fondamenta di S. Andrea,26 ducati
Andrea,ZANARDI,casetta,Fondamenta di S. Andrea,16 ducati
Domenico,ROVEA,casetta,Fondamenta di S. Andrea,18 ducati
Lazaro,FERRO,casetta,Fondamenta di S. Andrea,26 ducati
Lazaro,FERRO,casa,Fondamenta di S. Andrea,26 ducati
Gerolamo,CORNER,casa grande,Fondamenta di S. Andrea,150 ducati
Bortola,MELCHIONI,casetta,Fondamenta di S. Andrea,24 ducati
Costantin,LOREDAN,casa soler,Fondamenta di S. Andrea,32 ducati
Anzola,SALVIONI,bottega da frutariol e inviamento,Fondamenta di S. Andrea,12 ducati
Antonio,GRASSUTO,casa in soler,Squero Vecchio,36 ducati
Bortolomio,BUTTACALICE,casa in soler,Squero Vecchio,32 ducati
Lorenzo,RIVA,casa in soler,Squero Vecchio,44 ducati
